Category;Asset_ID;Name;Filename;Size;Format;Transparent;Tags;Variant/Rarity;Description;Prompt;Negative_Prompt;Priority;Status;Notes
Item Icon;rissiges_manometer;Rissiges Manometer;rissiges_manometer.png;128x128 / optional 256x256;PNG alpha;Yes;"pressure;reactive;modifier";;Round pressure gauge with cracked glass, needle in red danger zone and oil stains;steampunk item icon, Round pressure gauge with cracked glass, needle in red danger zone and oil stains, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;nietenschleuder;Nietenschleuder;nietenschleuder.png;128x128 / optional 256x256;PNG alpha;Yes;"ranged;mechanical;blunt";;Handmade rivet launcher with rotating drum magazine and compressed air cylinder;steampunk item icon, Handmade rivet launcher with rotating drum magazine and compressed air cylinder, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;oelkanne;Ölkanne;oelkanne.png;128x128 / optional 256x256;PNG alpha;Yes;"support;mechanical";;Dented brass oil can with long spout, dark oil shine and workshop grime;steampunk item icon, Dented brass oil can with long spout, dark oil shine and workshop grime, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;resonanzkristall;Resonanzkristall;resonanzkristall.png;128x128 / optional 256x256;PNG alpha;Yes;"sync;modifier;precision";;Amber crystal clamped inside a brass resonator fork, vibrating with warm light;steampunk item icon, Amber crystal clamped inside a brass resonator fork, vibrating with warm light, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;turbinenschuss;Turbinenschuss;turbinenschuss.png;128x128 / optional 256x256;PNG alpha;Yes;"steam;ranged;pressure";;Mini steam turbine cannon with spinning fins and copper exhaust pipe;steampunk item icon, Mini steam turbine cannon with spinning fins and copper exhaust pipe, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;druckluftlanze;Druckluftlanze;druckluftlanze.png;128x128 / optional 256x256;PNG alpha;Yes;"pressure;precision;ranged";;Long pneumatic lance with pressure tank and brass control trigger;steampunk item icon, Long pneumatic lance with pressure tank and brass control trigger, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;kolbenstampfer;Kolbenstampfer;kolbenstampfer.png;128x128 / optional 256x256;PNG alpha;Yes;"blunt;pressure;heavy";;Vertical piston stomper module with cast iron base and brass cylinder;steampunk item icon, Vertical piston stomper module with cast iron base and brass cylinder, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;glutkern;Glutkern;glutkern.png;128x128 / optional 256x256;PNG alpha;Yes;"fire;heavy;reactive";;Glowing furnace core held by black iron claws and riveted brass bands;steampunk item icon, Glowing furnace core held by black iron claws and riveted brass bands, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;messing_lupe;Messing-Lupe;messing_lupe.png;128x128 / optional 256x256;PNG alpha;Yes;"precision;scout;support";;Victorian magnifying lens with adjustable brass arms and etched measurement ticks;steampunk item icon, Victorian magnifying lens with adjustable brass arms and etched measurement ticks, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;federfalle;Federfalle;federfalle.png;128x128 / optional 256x256;PNG alpha;Yes;"reactive;scout;mechanical";;Compact spring trap with exposed coils, tooth-like clamps and trigger pin;steampunk item icon, Compact spring trap with exposed coils, tooth-like clamps and trigger pin, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;kettenzug;Kettenzug;kettenzug.png;128x128 / optional 256x256;PNG alpha;Yes;"heavy;mechanical;support";;Industrial chain hoist with brass pulley wheel and worn hook;steampunk item icon, Industrial chain hoist with brass pulley wheel and worn hook, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;schrapnell_rohr;Schrapnell-Rohr;schrapnell_rohr.png;128x128 / optional 256x256;PNG alpha;Yes;"ranged;blunt;reactive";;Short mortar-like pipe packed with rivets and scrap fragments;steampunk item icon, Short mortar-like pipe packed with rivets and scrap fragments, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;rauchwerfer;Rauchwerfer;rauchwerfer.png;128x128 / optional 256x256;PNG alpha;Yes;"steam;scout;support";;Small smoke launcher with soot-black nozzle and blue-gray steam cloud;steampunk item icon, Small smoke launcher with soot-black nozzle and blue-gray steam cloud, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;hammerwerk_modul;Hammerwerk-Modul;hammerwerk_modul.png;128x128 / optional 256x256;PNG alpha;Yes;"blunt;mechanical;sync";;Miniature factory hammer assembly with two alternating iron heads;steampunk item icon, Miniature factory hammer assembly with two alternating iron heads, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;bogenfunke_kondensator;Bogenfunke-Kondensator;bogenfunke_kondensator.png;128x128 / optional 256x256;PNG alpha;Yes;"fire;precision;sync";;Twin copper rods connected by bright electrical arc inside brass housing;steampunk item icon, Twin copper rods connected by bright electrical arc inside brass housing, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;gehaertetes_zahnrad;Gehärtetes Zahnrad;gehaertetes_zahnrad.png;128x128 / optional 256x256;PNG alpha;Yes;"mechanical;heavy;blunt";;Large dark steel gear with brass rim, chipped teeth and oily shine;steampunk item icon, Large dark steel gear with brass rim, chipped teeth and oily shine, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;tachometer_regler;Tachometer-Regler;tachometer_regler.png;128x128 / optional 256x256;PNG alpha;Yes;"precision;sync;support";;Speed governor with dial, spinning brass balls and red tick marks;steampunk item icon, Speed governor with dial, spinning brass balls and red tick marks, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;sync_welle;Sync-Welle;sync_welle.png;128x128 / optional 256x256;PNG alpha;Yes;"sync;mechanical;modifier";;Horizontal drive shaft with offset gears and glowing alignment marks;steampunk item icon, Horizontal drive shaft with offset gears and glowing alignment marks, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;ueberdruck_sicherheitsventil;Überdruck-Sicherheitsventil;ueberdruck_sicherheitsventil.png;128x128 / optional 256x256;PNG alpha;Yes;"pressure;reactive;support";;Emergency pressure release valve with red cap and escaping steam jet;steampunk item icon, Emergency pressure release valve with red cap and escaping steam jet, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;kohlebrenner;Kohlebrenner;kohlebrenner.png;128x128 / optional 256x256;PNG alpha;Yes;"fire;steam;support";;Portable coal burner with grate, glowing embers and small chimney;steampunk item icon, Portable coal burner with grate, glowing embers and small chimney, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;nietenpanzerplatte;Nietenpanzerplatte;nietenpanzerplatte.png;128x128 / optional 256x256;PNG alpha;Yes;"heavy;mechanical;support";;Curved armor plate with large brass rivets, dents and scratches;steampunk item icon, Curved armor plate with large brass rivets, dents and scratches, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;fernrohr_markierer;Fernrohr-Markierer;fernrohr_markierer.png;128x128 / optional 256x256;PNG alpha;Yes;"precision;scout;ranged";;Compact brass scope with tripod clamp and red target lens;steampunk item icon, Compact brass scope with tripod clamp and red target lens, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;klapp_visier;Klapp-Visier;klapp_visier.png;128x128 / optional 256x256;PNG alpha;Yes;"precision;modifier;scout";;Foldable targeting sight with stacked lenses and gear hinge;steampunk item icon, Foldable targeting sight with stacked lenses and gear hinge, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;doppelkessel_modul;Doppelkessel-Modul;doppelkessel_modul.png;128x128 / optional 256x256;PNG alpha;Yes;"steam;pressure;sync";;Twin copper boiler module connected by pipes with synchronized valves;steampunk item icon, Twin copper boiler module connected by pipes with synchronized valves, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;reaktive_feder;Reaktive Feder;reaktive_feder.png;128x128 / optional 256x256;PNG alpha;Yes;"reactive;mechanical;modifier";;Oversized compressed brass spring with hazard latch and red glow;steampunk item icon, Oversized compressed brass spring with hazard latch and red glow, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;funkenkondensator;Funkenkondensator;funkenkondensator.png;128x128 / optional 256x256;PNG alpha;Yes;"fire;reactive;precision";;Small capacitor capsule with copper rings and bright orange sparks;steampunk item icon, Small capacitor capsule with copper rings and bright orange sparks, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;druckausgleichsbehaelter;Druckausgleichsbehälter;druckausgleichsbehaelter.png;128x128 / optional 256x256;PNG alpha;Yes;"pressure;support;modifier";;Round pressure balancing tank with two hoses and stabilizing gauges;steampunk item icon, Round pressure balancing tank with two hoses and stabilizing gauges, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;gussstahl_amboss;Gussstahl-Amboss;gussstahl_amboss.png;128x128 / optional 256x256;PNG alpha;Yes;"blunt;heavy;mechanical";;Compact cast-steel anvil with brass foot clamps and burn marks;steampunk item icon, Compact cast-steel anvil with brass foot clamps and burn marks, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
Item Icon;mechanischer_greifer;Mechanischer Greifer;mechanischer_greifer.png;128x128 / optional 256x256;PNG alpha;Yes;"mechanical;support;reactive";;Articulated brass claw mounted on gear wrist, oil dripping from joints;steampunk item icon, Articulated brass claw mounted on gear wrist, oil dripping from joints, brass and copper machinery, warm patina, glowing accents, transparent background, centered composition, detailed mechanical illustration in the style of warm hand-painted action roguelike concept art, warm dark amber lighting from one side, 3/4 perspective, no border, no text, clean silhouette readable at 32x32 px --ar 1:1 --style raw --v 6;chrome sci-fi silver, neon cyan, neon magenta, sterile futurism, plastic, medieval fantasy, cartoon, grimdark, photorealistic render, text, logo, watermark, frame, border, flat icon, blurry silhouette, over-detailed noise;P1;To Generate;
